I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5586,No,2000,12,15,16,44,47.6,10,6,6,5.8,5.1,,,,7,TURKEY,,TURKEY:  AFYON-BOLVADIN,38.457,31.351,140,6,1,,,41,1,,1,,,,,6,1,,,41,1,,1,,,,2
8952,No,2001,1,1,6,57,4.1,33,7.5,7.5,7.2,6.4,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,6.898,126.579,170,,,,,,,,,,,,,,,,,,,,,,,,
5587,Yes,2001,1,13,17,33,32.3,60,7.7,7.7,7.8,6.4,,,,8,EL SALVADOR,,EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.,13.049,-88.66,100,844,3,,,4723,4,753,4,108226,4,169632,4,844,3,,,4723,4,753,4,108226,4,169632,4
5589,No,2001,1,26,3,16,40.5,16,7.7,7.7,8,6.9,,,,10,INDIA,,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.419,70.232,60,20005,4,,,166836,4,2623,4,339000,4,339000,4,20005,4,,,166836,4,2623,4,339000,4,,
5592,No,2001,2,13,14,22,5.8,10,6.6,6.6,6.5,5.5,,,,6,EL SALVADOR,,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,100,315,3,,,3399,4,348.5,4,41302,4,15706,4,315,3,,,3399,4,348.5,4,41302,4,15706,4
5593,No,2001,2,23,0,9,23.6,33,5.6,5.6,5.4,5.7,,,,,CHINA,,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,30,3,1,,,109,3,,3,60000,4,60000,4,3,1,,,109,3,,3,60000,4,,
5595,No,2001,2,28,18,54,32.8,52,6.8,6.8,6.6,6.5,,,,8,USA,WA,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,150,1,1,,,400,3,2000,4,,,,,1,1,,,400,3,2000,4,,,,
5596,No,2001,3,24,6,27,53.5,50,6.8,6.8,6.5,6.4,,,,9,JAPAN,,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,30,2,1,,,161,3,500,4,,,3700,4,2,1,,,161,3,500,4,,,3700,4
5597,No,2001,5,8,18,2,16.9,10,5.7,5.7,5.4,5.2,,,,,EL SALVADOR,,EL SALVADOR:  CONCHAGUA,13.605,-88.795,100,1,1,,,,,,2,84,2,70,2,1,1,,,,,,2,84,2,70,2
5598,No,2001,5,23,21,10,43.9,33,5.5,5.5,5.3,5.1,,,,,CHINA,,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,30,2,1,,,605,3,36,4,,,,,2,1,,,605,3,36,4,,,,
5599,No,2001,6,1,14,0,43.6,62,5,5,4.6,5,,,,,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,40,4,1,,,20,1,,1,,2,,2,4,1,,,20,1,,,,2,,
5601,Yes,2001,6,23,20,33,14.1,33,8.4,8.4,8.2,6.7,,,,8,PERU,,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,160,77,2,68,2,2713,4,,4,22399,4,,,103,3,138,3,2713,4,200,4,25399,4,,
5602,No,2001,6,25,13,28,46.5,5,5.5,5.5,4.9,5.2,,,,,TURKEY,,TURKEY:  OSMANIYE,37.238,36.206,140,,,,,130,3,,1,,,,,,,,,130,3,,1,,,66,2
5603,No,2001,7,5,13,53,48.3,62,6.6,6.6,,6.2,,,,,PERU,,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,160,,,,,,,,2,300,3,,,,,,,,,,2,300,3,,
5604,No,2001,7,7,9,38,43.5,33,7.6,7.6,7.3,6.6,,,,,PERU,,"PERU:  AREQUIPA, ARICA",-17.543,-72.077,160,1,1,,,30,1,,2,200,3,,,1,1,,,30,1,,2,200,3,,
5605,No,2001,7,14,18,36,8.3,33,4.3,,4.3,4.6,4.7,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,24.455,102.66,30,,,,,2,1,,1,150,3,150,3,,,,,2,1,,1,150,3,,
5606,No,2001,7,26,0,21,36.9,10,6.5,6.5,6.6,6,,,,,GREECE,,GREECE:  SKYROS,39.059,24.244,130,,,,,,,,1,,,100,2,,,,,,,,1,,,100,2
5607,No,2001,8,9,2,6,59.9,33,5.8,5.8,5.5,5.4,,,,,PERU,,PERU:  ANTABAMA,-14.258,-72.683,160,4,1,,,15,1,,2,,3,,,4,1,,,15,1,,2,,3,,
5608,No,2001,9,9,23,59,18,5,4.2,,,4.2,,,,6,USA,CA,CALIFORNIA:  LOS ANGELES,34.059,-118.387,150,,,,,,,,1,,,,,,,,,,,,1,,,,
10203,Yes,2001,10,12,5,2,34,20,6.1,6.1,5.8,5.6,,,,,CANADA,BC,CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,150,,,,,,,,,,,,,,,,,,,,,,,,
5609,No,2001,10,12,15,2,16.8,37,7,7,7.3,6.7,,,,8,USA TERRITORY,GU,GUAM,12.686,144.98,170,,,,,1,1,,2,,3,,,,,,,1,1,,2,,3,,
5610,No,2001,10,19,3,28,44.4,33,7.5,7.5,7.3,6.3,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-4.102,123.907,170,,,,,,,,,,,,,,,,,,,,,,,,
5611,No,2001,10,27,5,35,39.7,10,5.6,5.6,5.5,5.3,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,30,1,1,,,220,3,,2,3400,4,3400,4,1,1,,,220,3,,2,3400,4,,
5612,No,2001,11,14,9,26,10,10,7.8,7.8,8,6.1,,,,,CHINA,,CHINA:  QINGHAI PROVINCE:  XIDATAN,35.946,90.541,40,,,,,,,,1,,2,,2,,,,,,,,1,,2,,
6613,Yes,2001,12,18,4,2,58.2,14,6.8,6.8,7.3,6.3,,,,,TAIWAN,,TAIWAN,23.954,122.734,30,,,,,,,,,,,,,,,,,,,,,,,,
5613,No,2001,12,19,7,54,7.9,10,4.5,,,4.5,,,,6,BANGLADESH,,BANGLADESH:  DHAKA,23.632,90.376,60,,,,,100,2,,1,,,,2,,,,,100,2,,1,,,,2
5614,Yes,2002,1,2,17,22,48.7,21,7.2,7.2,7.5,6.3,,,,,VANUATU,,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,170,,,,,,2,,1,,,,2,,,,,,2,,1,,,,2
5615,No,2002,1,9,6,45,57.5,33,5.3,5.3,5.2,5.2,,,,,TAJIKISTAN,,TAJIKISTAN:  ROGHUN,38.673,69.902,40,3,1,,,50,1,,2,,,209,3,3,1,,,50,1,,2,,,209,3
5616,No,2002,1,10,11,14,56.9,11,6.7,6.7,6.6,6,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  AITAPE,-3.212,142.427,170,1,1,,,,,,2,200,3,,,1,1,,,,,,2,200,3,,
5617,No,2002,1,14,15,36,26.4,33,5.6,5.6,5.2,5.5,,,,,CHILE,,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,160,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5618,No,2002,1,17,20,1,29.2,15,4.7,,,4.7,,,,,RWANDA,,RWANDA:  GISENYI,-1.684,29.077,10,,1,,,,,,2,307,,,,1001,2,,,400,3,,3,307,3,,
5619,No,2002,1,30,8,42,3.4,109,5.9,5.9,,5.6,,,,,MEXICO,,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,150,,,,,,,,1,,,,2,,,,,,,,1,,,,2
5620,No,2002,2,3,7,11,28.4,5,6.5,6.5,6.4,5.7,,,,,TURKEY,,TURKEY:  AFYON,38.573,31.271,140,44,1,,,318,3,,2,,,,,44,1,,,318,3,,2,,,622,3
5621,No,2002,2,3,20,59,27.6,44,4.9,,,4.9,,,,,TAJIKISTAN,,TAJIKISTAN:  ROGHUN,38.773,69.924,40,,,,,,2,,1,,,,2,,,,,,2,,1,,,,2
5622,No,2002,2,17,13,3,52.7,33,5.4,5.4,5,5.6,,,,,IRAN,,IRAN:  BAGHAN,28.093,51.755,140,1,1,,,30,1,,2,,,,,1,1,,,30,1,,2,,,,3
5623,No,2002,2,22,19,32,41.7,7,5.5,5.5,5.5,5.4,,,,,MEXICO,,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5624,No,2002,3,3,12,8,19.7,226,7.4,7.4,,6.6,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,40,166,3,,,,2,,3,300,3,300,3,166,3,,,,2,,3,300,3,400,3
5625,Yes,2002,3,5,21,16,9.1,31,7.5,7.5,7.2,6.3,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,6.033,124.249,170,15,1,,,100,2,1.714,2,,,800,3,15,1,,,100,2,1.714,2,,,800,3
5626,No,2002,3,25,14,56,33.8,8,6.1,6.1,6.2,5.9,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,40,1000,3,,,200,3,,4,1500,4,1500,4,1000,3,,,200,3,,4,1500,4,,
6821,Yes,2002,3,26,3,45,48.7,33,6.4,6.4,6.6,5.8,,,,,JAPAN,,JAPAN:  RYUKYU ISLANDS,23.346,124.09,30,,,,,,,,,,,,,,,,,,,,,,,,
5627,Yes,2002,3,31,6,52,50.4,33,7.1,7.1,7.4,6.4,,,,,TAIWAN,,TAIWAN:  TAIPEI,24.279,122.179,30,5,1,,,200,3,,2,100,2,,,5,1,,,200,3,,2,100,2,,
5628,No,2002,4,1,19,59,32.4,71,6.4,6.4,,6.1,,,,,CHILE,,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,160,,,,,,,,1,,,,,,,,,,,,1,,,,
5629,No,2002,4,12,4,0,23.7,10,5.9,5.9,5.9,5.8,,,,,TAJIKISTAN,,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,39.959,69.417,40,50,1,,,150,3,,2,160,3,160,3,50,1,,,150,3,,,160,3,250,3
5630,No,2002,4,18,16,8,36.7,62,6.6,6.6,,6.2,,,,,CHILE,,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,160,,,,,19,1,,2,34,1,575,3,,,,,19,1,,2,34,1,575,3
5631,No,2002,4,20,10,50,47.5,11,5.2,5.2,4.2,5.2,,,,7,USA,NY,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5632,No,2002,4,24,10,51,50.9,10,5.7,5.7,5.6,5.6,,,,,SERBIA,,BALKANS NW:  KOSOVO; MACEDONIA:  N,42.436,21.466,130,1,1,,,60,2,,1,,,,,1,1,,,60,2,,1,,,,
5633,No,2002,4,24,19,48,7.1,33,5.4,5.4,5.2,5.2,,,,,IRAN,,IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,140,2,1,,,56,2,,4,,4,,4,2,1,,,56,2,,4,,4,,
5634,No,2002,4,25,17,41,21.5,10,4.3,,4.3,4.8,,,,,GEORGIA,,GEORGIA:  TBILISI,41.765,44.96,40,5,1,,,52,2,,3,,,2400,4,5,1,,,52,2,,3,,,2400,4
5635,No,2002,4,26,16,6,7,86,7.1,7.1,,6.5,,,,7,USA TERRITORY,GU,GUAM,13.088,144.619,170,,,,,5,1,,1,,,,,,,,,5,1,,1,,,,
5636,No,2002,5,18,15,15,8.8,10,5.5,5.5,5.5,5.2,,,,,TANZANIA,,TANZANIA:  BUNDA,-2.907,33.733,10,2,1,,,,,,2,690,3,700,3,2,1,,,,,,2,690,3,700,3
5637,No,2002,5,28,4,4,22.5,22,6,6,5.7,6,,,,,ARGENTINA,,"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS",-28.937,-66.797,160,,,,,27,1,,2,40,1,40,1,,,,,27,1,,2,40,1,,3
5638,No,2002,6,20,5,40,43.3,40,4.5,,,4.5,,,,,BANGLADESH,,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,60,,,,,55,2,,1,,,,2,,,,,55,2,,1,,,,2
5639,No,2002,6,22,2,58,21.3,10,6.5,6.5,6.4,6.2,,,,8,IRAN,,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,140,261,3,,,1300,4,300,4,,4,,4,261,3,,,1300,4,300,4,4,4,,
5573,No,2002,7,22,5,45,3,17,4.8,,,4.8,,,,,GERMANY,,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,120,,,,,,,,1,,,,,,,,,,,,1,,,,
5641,No,2002,7,31,0,16,44.6,10,6.5,6.5,6.4,6,,,,7,PANAMA,,"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL",7.929,-82.793,100,,,,,11,1,,2,,2,,3,,,,,11,1,,2,,2,,3
5642,No,2002,8,8,11,42,5,33,5.3,5.3,4.7,5.4,,,,,CHINA,,CHINA:  SICHUAN PROVINCE:  RULONG,30.916,99.927,30,,,,,,,,1,8,1,8,1,,,,,,,,1,8,1,,
5643,No,2002,8,14,13,57,52.1,30,6.5,6.5,6.4,6.1,,,,,USA TERRITORY,MP,NORTHERN MARIANA ISLANDS:  SAIPAN,14.101,146.199,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5644,No,2002,8,15,5,30,26.2,10,6.2,6.2,5.8,5.7,,,,,INDONESIA,,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,170,48,1,,,,,,2,,,200,3,48,1,,,,,,2,,,200,3
8953,No,2002,8,19,11,1,1.1,580,7.7,7.7,,6.7,,,,,FIJI,,FIJI ISLANDS,-21.696,-179.513,170,,,,,,,,,,,,,,,,,,,,,,,,
8954,No,2002,8,19,11,8,24.3,675,7.7,7.7,,7,,,,,FIJI,,FIJI ISLANDS,-23.884,178.495,170,,,,,,,,,,,,,,,,,,,,,,,,
5645,No,2002,8,24,20,1,18.3,10,4.4,,,4.4,,,,,EGYPT,,EGYPT:  CAIRO,30.2,31.41,15,,,,,,,,1,,,44,1,,,,,,,,1,,,44,1
5646,No,2002,9,2,1,0,3.2,10,5.2,5.2,,5.1,,,,,IRAN,,"IRAN: KAK, RAZAN, SIZAN",35.701,48.838,140,,,,,,,,1,,,,,,,,,,,,1,,,,1
5647,No,2002,9,5,11,3,5.8,32,5.5,5.5,5.2,5.3,,,,,KYRGYZSTAN,,KYRGYZSTAN,39.77,72.007,40,,,,,,,,1,,,,,,,,,,,,1,,,,
5648,No,2002,9,6,1,21,28.6,5,6,6,5.5,5.8,,,,,ITALY,,ITALY:  SICILY:  PALERMO,38.381,13.701,130,2,1,,,20,1,500,4,,,,2,2,1,,,20,1,500,4,,,,2
5649,Yes,2002,9,8,18,44,25.5,13,7.6,7.6,7.8,6.5,,,,,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,170,4,1,,,70,2,,3,,1,873,3,4,1,,,70,2,,3,,1,873,3
5650,Yes,2002,9,13,22,28,29.4,21,6.5,6.5,6.7,6.2,,,,,INDIA,,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",13.036,93.068,60,2,1,,,,,,1,40,1,,1,2,1,,,,,,2,40,1,,1
5651,No,2002,9,20,15,43,35.4,10,6.4,6.4,6.4,5.9,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,170,,,,,,,,1,,,31,1,,,,,,,,1,,,31,1
5652,No,2002,9,22,23,53,14.6,9,4.8,,,4.8,5,,,6,UK,,"UNITED KINGDOM:  MANSFIELD, DUDLEY",52.52,-2.15,120,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
5653,No,2002,9,25,18,14,48.5,6,5.3,5.3,4.7,5.2,,,,,MEXICO,,MEXICO:  ACAPULCO,16.87,-100.113,150,,,,,2,1,,1,,,,2,,,,,2,1,,1,,,,2
5654,No,2002,9,25,22,28,11.9,10,5.6,5.6,5.1,5.5,,,,,IRAN,,IRAN:  MASJED-E SOLEYMAN,31.995,49.329,140,,,,,5,1,,2,,,,,,,,,5,1,,2,,,,3
5655,No,2002,9,30,6,44,48,10,4.2,,,4.2,4.5,,,,FRANCE,,"FRANCE:  HENNEBONT, LANGUIDIC, LORIENT, TREMOREL",47.832,-3.207,120,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5656,Yes,2002,10,10,10,50,20.5,10,7.6,7.6,7.7,6.5,,,,,INDONESIA,,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,170,8,1,,,632,3,,3,1000,3,900,3,8,1,,,632,3,,3,1000,3,900,3
5657,No,2002,10,23,11,27,19.4,4,6.7,6.7,6.7,6,,,,8,USA,AK,"ALASKA:  CANTWELL, DENALI NATL PARK",63.514,-147.912,150,,,,,,,,2,,,,,,,,,,,,2,,,,
5658,No,2002,10,24,6,8,37.9,11,6.2,6.2,6.3,5.9,,,,,CONGO,,"CONGO: GOMA, LWIRO, BUKAVU; RWANDA:  MUGERA, KIGALI",-1.884,29.004,10,2,1,,,,,,1,,2,,,2,1,,,,,,1,,2,,
5659,No,2002,10,29,10,2,21.5,10,4.3,,,4.3,4.5,,,8,ITALY,,ITALY:  SICILY:  SANTA VENERINA,37.67,15.267,130,,,,,9,1,,1,,,,2,,,,,9,1,,1,,,,2
5660,No,2002,10,31,10,32,58.7,10,5.7,5.7,5.6,5.3,,,,,ITALY,,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,130,29,1,,,135,3,796,4,,,,4,29,1,,,135,3,796,4,,,,4
5661,No,2002,11,1,22,9,29.2,33,5.4,5.4,5.3,5.3,,,,,PAKISTAN,,PAKISTAN:  GILGIT,35.517,74.654,60,11,1,,,40,1,,3,,3,,3,11,1,,,40,1,,3,,,1000,4
5662,No,2002,11,2,1,26,10.7,30,7.3,7.3,7.6,6.2,,,,,INDONESIA,,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,60,3,1,,,65,2,,3,,,994,3,3,1,,,65,2,,3,,,994,3
5663,No,2002,11,3,22,12,41,5,7.9,7.9,8.5,7,,,,9,USA,AK,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,150,,,,,1,1,56,4,,,,,,,,,1,1,56,4,,,,
5664,No,2002,11,20,21,32,30.8,33,6.3,6.3,6.5,5.7,,,,,PAKISTAN,,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,60,19,1,,,40,1,,3,100,2,100,2,19,1,,,40,1,,3,100,2,1256,4
5665,No,2002,11,27,16,43,17.5,33,5.9,5.9,5.8,5.6,,,,,VANUATU,,VANUATU ISLANDS: MERE LAVA ISLAND,-14.49,167.827,170,,,,,3,1,,2,,,,,,,,,3,1,,2,,,100,2
5666,No,2002,12,2,4,58,55.1,10,5.7,5.7,5.4,5.2,,,,,GREECE,,"GREECE:  MEGALOPOLIS, VARTHOLOMION",37.747,21.087,130,,,,,17,1,,2,8,1,100,2,,,,,17,1,,2,8,1,100,2
5667,No,2002,12,14,13,27,29.1,22,5.5,5.5,5.3,5.6,,,,,CHINA,,CHINA:  GANSU PROVINCE:  YUMNE,39.736,97.443,30,2,1,,,,,,3,13380,4,,,2,1,,,,,,3,13380,4,,
5668,No,2002,12,24,17,3,2.9,33,5.2,5.2,4.4,5.1,,,,,IRAN,,IRAN:  KERMANSHAH,34.594,47.454,140,,,,,15,1,,3,3000,4,3000,4,,,,,15,1,,3,3000,4,,
5669,No,2002,12,25,12,57,3.2,10,5.7,5.7,5.6,5.5,,,,,CHINA,,CHINA:  XINJIANG:  WUQIA,39.57,75.254,40,,,,,,,,1,,2,,,,,,,,,,1,,2,,
5670,No,2002,12,25,19,13,42.7,91,5.5,5.5,,5.3,,,,,AFGHANISTAN,,AFGHANISTAN:  JALALABAD,35.704,69.868,40,,,,,,,,1,,,,,,,,,,,,1,,,,1
5671,No,2003,1,11,17,45,30.6,33,5.2,5.2,5,5.2,,,,,IRAN,,"IRAN:  KAZERUN, NURABAD",29.59,51.474,140,,,,,,2,,3,650,3,650,3,,,,,,2,,3,650,3,1350,4
5672,Yes,2003,1,20,8,43,6,33,7.3,7.3,7.8,6.7,,,,,SOLOMON ISLANDS,,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,170,,,,,,,,,,,,,,,,,,,,,,,,
5673,Yes,2003,1,22,2,6,34.6,24,7.5,7.5,7.6,6.5,,,,8,MEXICO,,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,150,29,1,,,300,3,,3,2005,4,6615,4,29,1,,,300,3,,3,2005,4,6615,4
5674,No,2003,1,23,0,8,22.8,33,5.5,5.5,5.1,5.3,,,,6,INDONESIA,,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,60,,,,,2,1,,2,,,500,3,,,,,2,1,,2,,,500,3
5675,No,2003,1,26,19,57,3.2,7,4.7,,,4.7,4.6,,,7,ITALY,,"ITALY:  SPINELLO, SANTA SOFIA, BAGNO DI ROMAGNA",43.883,11.96,130,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5676,No,2003,1,27,5,26,23,10,6.1,6.1,6,5.6,,,,,TURKEY,,"TURKEY:  SAGLAMTAS, PULUMUR",39.5,39.878,140,1,1,,,,2,,1,,,,,1,1,,,,2,,1,,,,2
5685,No,2003,2,13,17,34,20.9,24,5.3,5.3,5.2,5.2,,,,,CHINA,,CHINA:  N. XINJIANG:  URUMQI,43.897,85.923,40,,,,,,,,1,,,,,,,,,,,,1,,,,
5700,No,2003,2,15,5,47,58.9,10,5.8,5.8,5.6,5.4,,,,6,PHILIPPINES,,PHILIPPINES: LUZON:  DIMASALANG,12.171,123.921,170,,,,,,,,1,,,,,,,,,,,,1,,,,
5701,No,2003,2,15,11,1,59.8,10,6.3,6.3,6.2,5.8,,,,6,PHILIPPINES,,"PHILIPPINES: MASBATE, DIMASALANG",12.168,124.079,170,,,,,,,,1,,,,2,,,,,,,,1,,,,2
5680,No,2003,2,22,12,19,10.5,1,5.2,5.2,4.8,4.9,,,,6,USA,CA,CALIFORNIA:  BIG BEAR CITY,34.31,-116.848,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5681,No,2003,2,22,20,41,3.4,10,5,5,,5,5.7,,,,FRANCE,,"FRANCE:  BACCARAT, COLMAR, THANN; GERMANY:  EDIGEN",48.342,6.57,120,,,,,,,,1,,,,,,,,,,,,1,,,,
5682,No,2003,2,24,2,3,41.4,11,6.3,6.3,6.3,5.8,,,,,CHINA,,CHINA:  S. XINJIANG:  BACHU,39.61,77.23,40,261,3,,,4000,4,,4,71000,4,,,261,3,,,4000,4,,4,71000,4,,
5683,No,2003,2,25,3,52,41,10,5.4,5.4,5.3,5.1,,,,,CHINA,,CHINA:  S. XINJIANG:  BACHU,39.483,77.393,40,5,1,,,,,,1,,,,,5,1,,,,,,1,,,,
5684,No,2003,3,21,11,38,20,33,4.6,,,4.6,,,,,INDONESIA,,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468,60,,,,,,,,2,,,,,,,,,,,,2,,,800,3
5686,No,2003,3,22,13,36,16,6,4.7,,,,4.7,,,,GERMANY,,GERMANY:  ALBSTADT,48.21,9,120,,,,,,,,1,,,,,,,,,,,,1,,,,
5702,No,2003,3,25,2,53,25,33,6.5,6.5,6.1,6.2,,,,,INDONESIA,,INDONESIA:  FLORES:  REO,-8.294,120.743,60,4,1,,,20,1,,1,,,,2,4,1,,,20,1,,1,,,,2
5689,No,2003,3,25,18,51,26.3,47,5.5,5.5,4.8,4.8,,,,,BHUTAN,,BHUTAN:  PHUENTSHOLING,27.264,89.331,60,,,,,,,,1,,,,,,,,,,,,1,,,,1
5690,No,2003,4,10,0,40,15.1,10,5.7,5.7,5.6,5.6,,,,,TURKEY,,"TURKEY:  IZMIR, SEFERIHISAR",38.221,26.958,140,,,,,90,2,,2,,2,,2,,,,,90,2,,2,,2,,2
5691,No,2003,4,17,0,48,38.5,14,6.4,6.4,6.3,6.2,,,,,CHINA,,CHINA:  QINGHAI PROVINCE:  DELINGHA,37.529,96.476,30,,,,,,,,1,45,1,45,1,,,,,,,,1,45,1,,
5703,No,2003,4,29,8,59,39,20,4.6,4.6,,4.4,,,,6,USA,AL,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5692,No,2003,5,1,0,27,4.7,10,6.4,6.4,6.4,5.7,,,,,TURKEY,,TURKEY:  BINGOL,39.007,40.464,140,177,3,,,521,3,,3,718,3,718,3,177,3,,,521,3,,3,718,3,2593,4
5693,No,2003,5,4,15,44,35.5,10,5.8,5.8,5.6,5,,,,,CHINA,,CHINA:  S. XINJIANG:  YOPURGA,39.43,77.219,40,1,1,,,3,1,,3,1600,4,,,1,1,,,3,1,,3,1600,4,,
5694,Yes,2003,5,21,18,44,20.1,12,6.8,6.8,6.9,6.5,,,,10,ALGERIA,,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,15,2266,4,,,10261,4,5000,4,43000,4,43000,4,2266,4,,,10261,4,5000,4,43000,4,,
5695,No,2003,5,26,9,24,33.4,68,7,7,,6.7,,,,,JAPAN,,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,30,,,,,143,3,233,4,,,720,3,,,,,143,3,233,4,,,720,3
5696,No,2003,5,26,19,23,27.9,31,7,7,7.1,6.5,,,,,INDONESIA,,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,170,1,1,,,7,1,,1,28,1,20,1,1,1,,,7,1,,1,28,1,20,1
5697,Yes,2003,5,27,17,11,28.8,8,5.7,5.7,5.5,5.5,,,,,ALGERIA,,"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",36.939,3.578,15,9,1,,,200,3,,2,,3,,,9,1,,,200,3,,2,,3,,
5698,No,2003,6,6,12,29,34,3,4,4,,3.9,,,,6,USA,KY,KENTUCKY:  BARDWELL,36.87,-88.98,150,,,,,,,,1,,,,,,,,,,,,1,,,,
